epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.312,1.09414,1.73384,1.20628,0.77353,0.5214,0.64666,0.35845,1.59242,1.56067,1.55857,0.000332258,0.000332258,0.0671065
2,48.6602,0.97837,1.11563,1.14397,0.78816,0.66148,0.75904,0.45497,1.4154,1.26681,1.47028,0.000652413,0.000652413,0.0340933
3,70.9863,0.93852,0.99139,1.12849,0.83747,0.6965,0.78841,0.48579,1.40653,1.32172,1.4477,0.000959367,0.000959367,0.00106689
4,92.1566,0.88875,0.90073,1.08991,0.87248,0.71984,0.79939,0.46663,1.48718,1.19218,1.48179,0.0009406,0.0009406,0.0009406
5,112.105,0.86146,0.82545,1.07735,0.91964,0.75704,0.83293,0.53026,1.31009,1.06667,1.35445,0.0009208,0.0009208,0.0009208
6,132.627,0.85162,0.77639,1.07067,0.9551,0.77432,0.87821,0.56654,1.31132,0.95616,1.33444,0.000901,0.000901,0.000901
7,152.578,0.80971,0.72757,1.04593,0.90356,0.74708,0.82499,0.52069,1.32595,0.9691,1.39379,0.0008812,0.0008812,0.0008812
8,172.854,0.78632,0.69955,1.04252,0.89482,0.7821,0.84643,0.56375,1.23473,0.94395,1.31495,0.0008614,0.0008614,0.0008614
9,193.165,0.76294,0.68835,1.02717,0.91769,0.85992,0.91412,0.58346,1.30724,0.80745,1.35708,0.0008416,0.0008416,0.0008416
10,214.342,0.75276,0.64394,1.02854,0.94394,0.85166,0.90404,0.5833,1.27366,0.78872,1.3352,0.0008218,0.0008218,0.0008218
11,234.228,0.75042,0.64029,1.02022,0.96407,0.83529,0.89864,0.59994,1.19407,0.78128,1.29059,0.000802,0.000802,0.000802
12,254.264,0.72633,0.61773,1.00898,0.96388,0.83059,0.90771,0.58977,1.24754,0.77877,1.3244,0.0007822,0.0007822,0.0007822
13,275.352,0.70913,0.60125,1.0029,0.95273,0.84436,0.92504,0.62301,1.1724,0.72997,1.26597,0.0007624,0.0007624,0.0007624
14,296.557,0.72519,0.58984,1.00588,0.95297,0.81323,0.89166,0.59719,1.20974,0.79808,1.29388,0.0007426,0.0007426,0.0007426
15,317.643,0.69729,0.56943,0.99416,0.95018,0.89063,0.929,0.63308,1.1593,0.70334,1.2464,0.0007228,0.0007228,0.0007228
16,339.465,0.68948,0.56512,0.99124,0.93857,0.8716,0.91983,0.61049,1.20118,0.70759,1.25784,0.000703,0.000703,0.000703
17,360.595,0.67975,0.55242,0.98808,0.97665,0.85214,0.9098,0.60378,1.19246,0.74185,1.25551,0.0006832,0.0006832,0.0006832
18,381.895,0.67053,0.54092,0.98157,0.95857,0.8677,0.92932,0.62392,1.21085,0.669,1.2818,0.0006634,0.0006634,0.0006634
19,403.209,0.67373,0.5374,0.98094,0.95206,0.88327,0.92941,0.62137,1.18934,0.67125,1.26119,0.0006436,0.0006436,0.0006436
20,424.533,0.66815,0.53307,0.9803,0.96591,0.88205,0.93562,0.64345,1.14161,0.62546,1.24108,0.0006238,0.0006238,0.0006238
21,445.96,0.66222,0.5095,0.98385,0.98689,0.87864,0.95119,0.63434,1.19643,0.63902,1.25025,0.000604,0.000604,0.000604
22,466.833,0.63173,0.497,0.96668,0.95353,0.87827,0.93828,0.64559,1.13495,0.64714,1.22003,0.0005842,0.0005842,0.0005842
23,487.468,0.64738,0.48362,0.97408,0.97433,0.88596,0.94909,0.64172,1.17302,0.63437,1.24194,0.0005644,0.0005644,0.0005644
24,507.582,0.63304,0.49495,0.97878,0.97875,0.89629,0.94675,0.65252,1.1459,0.62936,1.2262,0.0005446,0.0005446,0.0005446
25,527.804,0.62293,0.46683,0.96102,0.95856,0.90016,0.94108,0.62077,1.23359,0.62404,1.27988,0.0005248,0.0005248,0.0005248
26,548.246,0.60772,0.46941,0.95699,0.96241,0.89671,0.9453,0.64599,1.16732,0.61675,1.26397,0.000505,0.000505,0.000505
27,568.658,0.61897,0.46942,0.96537,0.99118,0.87474,0.94733,0.64376,1.15804,0.63245,1.23858,0.0004852,0.0004852,0.0004852
28,588.845,0.59367,0.44456,0.95163,0.97354,0.89494,0.93916,0.64696,1.1614,0.64643,1.23899,0.0004654,0.0004654,0.0004654
29,609.101,0.60934,0.4451,0.95261,0.96696,0.90272,0.9402,0.64244,1.16186,0.65266,1.2419,0.0004456,0.0004456,0.0004456
30,629.419,0.58055,0.44085,0.93936,0.97457,0.89473,0.9429,0.64421,1.13612,0.62548,1.20305,0.0004258,0.0004258,0.0004258
31,649.798,0.58151,0.43537,0.95076,0.97107,0.91431,0.94273,0.66408,1.12108,0.61106,1.20427,0.000406,0.000406,0.000406
32,670.687,0.58094,0.42642,0.94549,0.97134,0.89494,0.95799,0.67251,1.12016,0.56324,1.20709,0.0003862,0.0003862,0.0003862
33,692.011,0.58146,0.4222,0.9499,0.96829,0.93385,0.9588,0.65902,1.1299,0.5612,1.20949,0.0003664,0.0003664,0.0003664
34,713.251,0.56788,0.41656,0.94267,0.99128,0.8844,0.94177,0.65458,1.1454,0.60489,1.22767,0.0003466,0.0003466,0.0003466
35,734.883,0.57468,0.41704,0.94584,0.94844,0.9305,0.95519,0.66399,1.12609,0.57902,1.19857,0.0003268,0.0003268,0.0003268
36,756.238,0.54596,0.39401,0.93433,0.97488,0.90619,0.95486,0.66197,1.12421,0.56715,1.20036,0.000307,0.000307,0.000307
37,777.87,0.52539,0.38839,0.92568,0.98709,0.89281,0.95615,0.66172,1.10677,0.56487,1.19248,0.0002872,0.0002872,0.0002872
